color,x,y
Western Germany,-0.8339324471831637,-3.348226876120008
Western Germany,2.973750107345341,-10.75364112046687
Western Germany,3.4654087029478102,-9.952536532467851
Western Germany,0.042336978319620355,-6.711648633907062
Cities,-0.9804057100173336,4.900850792893045
Western Germany,0.1705562382278235,-5.306350541325005
Western Germany,0.6131472665958951,-5.904018663778214
Western Germany,0.9041885846262392,-6.097179516711677
Western Germany,1.7986475287593977,-6.2270445759035224
Western Germany,1.0305281407135702,-5.572461857988166
Western Germany,2.13700246702745,3.4454934841171867
Eastern Germany,-0.7872398647384671,24.64522686235286
Eastern Germany,-1.3095406390509394,24.96508108459567
Eastern Germany,-2.1020972678418453,22.666387732931117
Eastern Germany,-2.489072352484471,26.092590881612427
Eastern Germany,-3.7430869426700033,27.188052536259505
Eastern Germany,-1.496992284477301,26.348090174550723
Cities,0.1599364448398417,6.668698232303573
Cities,-1.8711261654368747,6.392432987315506
Cities,-1.730408752925881,5.450620579907855
Cities,-3.0305365212275137,1.5249312673676598
Cities,3.168245809961083,3.772407083316431
Cities,4.1272280465552305,3.8621781732999168
Western Germany,12.805354788518091,0.48710116453919383
Western Germany,7.538834204938176,-13.37732431768984
Western Germany,10.75580897440898,-2.7332404354189155
Western Germany,-0.6153058704796227,-1.7540343728358236
Western Germany,8.920566917824008,-5.107919105415224
Western Germany,7.482772339169619,-11.411172643145509
Western Germany,6.635089762650458,-12.316899031917622
Western Germany,5.20784285727218,-15.52911619181561
Western Germany,4.740653996735996,-16.02631372908212
Western Germany,6.234814400333257,-10.231819380261546
Western Germany,7.622118144766864,-7.922695753703119
Western Germany,7.2439136277443605,-10.811221208263623
Western Germany,1.2915932809920188,-6.041958088060822
Western Germany,-1.1420771360892947,-1.2673069543737505
Western Germany,7.250640201527388,-12.537832844942024
Western Germany,-0.8775536045414105,-2.4517086655849165
Western Germany,10.520388347213082,-3.865812480591832
Cities,2.9511546200136403,4.38221520366092
Cities,0.20067261401049274,5.883619921524735
Western Germany,8.619201297446438,-4.898154376689783
Western Germany,7.089754879971314,-8.491150469848549
Western Germany,10.327582365330397,-4.364379762893153
Western Germany,10.945608760518551,-1.6186175402053162
Western Germany,9.505266997951704,-1.8179233399609807
Western Germany,11.304142938284839,-2.2700238690665415
Western Germany,11.259789857882351,0.6902005068308086
Cities,2.4820077661194917,3.706843941086139
Western Germany,10.493380551226789,-3.2307158175013715
Western Germany,11.245037840010013,-1.5166881722903738
Western Germany,3.2599034644545863,2.2792718035920627
Cities,0.8269978181050939,6.197884751190235
Cities,6.440059181070118,4.740687991710255
Eastern Germany,-1.1619651968980689,23.930754778530236
Eastern Germany,-2.63203535875006,24.51696254370983
Eastern Germany,-1.9157005005941654,23.730556423801225
Eastern Germany,-3.832267825916991,23.34993927727493
Eastern Germany,-1.2491683343083055,23.582884994340763
Eastern Germany,-2.6168126563262035,21.09604332260968
Eastern Germany,-3.311649098109249,24.32626890416613
Eastern Germany,-4.05039328794882,23.76662001847964
Eastern Germany,-6.218739399069534,24.99666751808517
Eastern Germany,-4.592899261291429,25.682298501549145
Eastern Germany,-0.6246248455781336,25.31851247541797
Eastern Germany,-1.7540701360167326,25.288804060091174
Eastern Germany,-1.1179302982081252,25.414233001510837
Eastern Germany,-2.4450741780436713,22.81314671023128
Eastern Germany,-2.287730270558445,25.74595808948672
Eastern Germany,-3.4766401703579675,25.83458238796678
Eastern Germany,-3.6463098321569465,22.39484051197184
Eastern Germany,-4.473360108768426,26.450193638647676
Eastern Germany,-4.170408026884791,25.577478408130716
Cities,-3.571961540225912,17.892054023065352
Cities,-3.705330576501115,18.76733729959855
Cities,1.8450936777711184,-0.9755527521621981
Cities,2.410895019777996,-0.20927016641852464
Cities,-4.163310697060172,2.212571040966172
Cities,-3.616940611700646,3.6041759421928066
Cities,-2.8829452598851,5.53941392806456
Cities,-1.3062150310764058,7.910771164156572
Cities,-3.6049278914625718,17.77292281719398
Cities,-4.335302631957817,20.253937442561607
Cities,-5.03153235435458,20.75692478586865
Cities,-4.688141427481126,20.0976310844932
Cities,0.6127171614300387,4.524878102750546
Western Germany,12.348234589590822,1.15134803663743
Western Germany,6.492292081879597,-11.104647200025214
Western Germany,9.523120041905937,-4.745524867777878
Western Germany,5.935062593720598,-5.295369376404135
Western Germany,4.256116197533097,-8.313830322328212
Cities,0.9456858064633389,4.6148209535990885
Cities,-3.290013610220819,3.0662943748042104
Cities,-0.07282750376734959,5.7592536865786785
Cities,-3.218285629445231,2.3457325938655904
Western Germany,3.6468147698621296,-6.227688000831357
Western Germany,1.5068837318352037,-7.940245351297821
Western Germany,4.637086775097801,-7.5438353595929675
Western Germany,1.8661989309815104,-7.71245222448135
Cities,3.814021510428019,4.459139734560201
Cities,4.364505574005816,4.716923890049115
Cities,5.235304665488449,-5.035051501375092
Cities,3.4663411653793026,-6.834867119496653
Western Germany,4.843334921256475,-5.634702773015674
Cities,-3.607599691809035,-1.5621191437492934
Cities,0.770217820620066,2.3510811697924714
Western Germany,4.0991923454142745,-7.753142748528707
Cities,4.740362627840454,-6.571922020264894
Western Germany,2.8775465971362024,-8.14447457846946
Western Germany,2.866553223079306,-8.865021328907243
Western Germany,4.770583818030169,-11.706285486310064
Western Germany,9.950688496116452,-5.625643500815185
Cities,8.919214954168961,1.95795036172287
Cities,8.819688908674985,4.38091211923093
Cities,10.164441839102725,5.28602026094706
Cities,10.007904622365018,3.9959125129645274
Cities,9.262481327984005,2.348003361957445
Cities,9.480497062962526,5.13803501770299
Cities,1.0620962773914873,2.143119758862667
Cities,10.43787850810004,2.0840028579158174
Western Germany,11.224301521740632,1.917294535081434
Cities,10.401789129351151,5.171323915548479
Western Germany,5.216243017297471,-13.60121084732962
Western Germany,11.359326459795195,1.9506843790817094
Western Germany,4.871104451480452,-14.480085966009064
Western Germany,4.4023778174329085,-13.672991077096016
Western Germany,8.299292002196566,-9.819974589317644
Cities,-3.0196205912986427,1.006331700425559
Western Germany,4.759341395486702,-11.152669188702205
Western Germany,4.623365252122426,-9.647150480932806
Cities,1.9618171899610823,4.637478387784988
Western Germany,8.819688247545743,-2.1397115411345475
Western Germany,9.4000085539781,-3.749278436562153
Western Germany,8.415985570580503,-2.5041328115254573
Western Germany,5.698215485500949,-10.852253832344424
Western Germany,-0.9629558649589196,-14.769999279001263
Western Germany,9.475387336868216,1.9323720523678645
Western Germany,8.463961262359833,2.6386411489411934
Cities,5.539323847184659,4.820539586314292
Cities,9.843221565167116,4.647035886170188
Cities,5.6665692913137455,5.213134007774629
Cities,8.341961450382103,4.59839650583827
Western Germany,10.571923311966463,2.85895105202406
Western Germany,10.979682006187996,1.5617658194848913
Western Germany,5.055371104210057,-8.629178985940502
Western Germany,4.965688961387707,-12.798358361010052
Western Germany,8.024295865578045,-4.167621587149953
Western Germany,5.053851369642604,-12.202491390809326
Western Germany,6.861637713761395,-4.478083748952236
Eastern Germany,-5.961399907044311,26.65102466412211
Cities,-4.730116409757006,22.322254181452006
Cities,-3.769441132499302,20.59297382657706
Eastern Germany,-5.844551156775396,27.044661393263905
Eastern Germany,-7.803666228711801,26.640550191458967
Eastern Germany,-7.2026369827315575,27.645279151426518
Eastern Germany,-7.383427917824146,27.102561576410167
Eastern Germany,-8.025066408475016,27.305553056115
Cities,-5.622971842461331,23.139381262267083
Eastern Germany,-5.8059322867750485,22.654629761556556
Eastern Germany,-7.0285711506197,26.61799527337845
Cities,-5.625703111814276,23.989635988503437
Eastern Germany,-5.438701419899283,27.614202963695355
Eastern Germany,-6.224790156033359,27.676215382543404
Eastern Germany,-4.898574335400254,27.288338127929265
Eastern Germany,-5.09332866888288,26.96418137647361
Western Germany,10.263081758924987,-0.4959996520051839
Western Germany,3.109607820403336,5.599724393773895
Western Germany,11.251851242230222,0.013499081276044489
Western Germany,10.690538183011572,0.21412445810099623
Western Germany,3.9861685402097535,1.794321693328456
Western Germany,5.062709675596174,-2.795612742220638
Western Germany,3.720250499165072,-0.20585790040216023
Western Germany,-3.749066939482198,-15.491981886405108
Western Germany,4.858058583979081,-2.270116541649625
Western Germany,1.9204061673330008,-4.026137666765127
Western Germany,2.675973290814126,-2.7629282563585624
Western Germany,2.5430880769691013,-4.22453921894744
Cities,-0.205911628852523,1.8650603769689738
Western Germany,3.210302028599314,-1.2697290650671031
Cities,-2.5767489287412646,-7.160477711526524
Cities,-2.1137923619143097,3.5836305753351954
Cities,-2.895980634944014,3.5740129330143113
Western Germany,3.880995195956469,-1.0137663112994488
Cities,0.6936653995839246,0.9329686006152711
Western Germany,-0.9906628471057507,3.903279469973806
Western Germany,3.552013637588866,-2.5362174597733693
Western Germany,3.1346966726472694,-3.122688671007153
Eastern Germany,-2.2840398632318406,27.406420165886455
Eastern Germany,-2.891043189240632,27.0228562075001
Eastern Germany,-4.532141890201304,24.477361542054734
Eastern Germany,-4.913297404209371,25.38053494936271
Eastern Germany,-3.812117851692655,22.13732060591635
Eastern Germany,-5.900281932019535,26.07388806391645
Eastern Germany,-5.2595393958636,26.3181442060241
Eastern Germany,-3.6945250805189405,26.430200236300468
Western Germany,8.050586533476274,-6.67988618577525
Western Germany,5.56855889862288,-12.188769934961254
Western Germany,6.57038852811252,-9.054805558155032
Western Germany,6.030439593612042,-12.160688565284126
Western Germany,9.396937618038534,-3.3454157740341515
Western Germany,5.8865414975492305,-14.184743287256731
Western Germany,7.135235646499746,-9.448552170614136
Western Germany,8.287329558385274,-6.240598220933143
Western Germany,-1.4206985997055033,-1.2538771551538304
Western Germany,4.331423827930134,-2.06667488876366
Western Germany,4.693774586155788,-1.515935563362277
Western Germany,3.082901451759697,-3.645129163217997
Western Germany,9.730033340640734,0.5445381802154745
Western Germany,6.038414697612169,-2.9787775795271676
Western Germany,3.925001949388728,-3.2250912520319104
Southern Germany,-7.243375290126993,-18.44257223778217
Southern Germany,-8.588921808708957,-15.056601270971194
Southern Germany,-7.268786269003511,-16.444785034259596
Southern Germany,-8.202848856858989,-15.323519905958307
Southern Germany,-6.237927473554858,-17.850472475594895
Cities,-5.5884514269582075,2.065662469761845
Cities,-5.961293190061991,1.8292435872342887
Cities,-5.744117848128245,2.7457381587305565
Cities,-6.136231711476218,2.797746199102961
Southern Germany,-9.588204949952614,-10.207891023305855
Southern Germany,-8.088405196820156,-16.382278808099006
Southern Germany,-8.862110339187334,-15.936103270968363
Southern Germany,-9.714140091422744,-11.740756699398176
Southern Germany,-8.366027910976158,-17.995998178696386
Southern Germany,-8.515586863701252,-17.259593420749162
Southern Germany,-6.104685322605647,-19.90000600092351
Southern Germany,-6.741097436184906,-17.545218424201632
Southern Germany,-6.2063017538203695,-18.488595042734975
Southern Germany,-6.5154789428988344,-19.1987731620051
Southern Germany,-5.992910295028075,-19.627212855066745
Southern Germany,-4.661187697344821,-17.873696705730573
Southern Germany,-6.353795661056099,-15.32291385869863
Southern Germany,-4.985271638838132,-19.456144050167296
Southern Germany,-3.384049841045071,-18.574551771591274
Southern Germany,-5.973362564323294,-15.859280272828475
Southern Germany,-3.175319742722404,-17.208347522420254
Southern Germany,2.512093513216421,-13.523326720088585
Southern Germany,2.081355105169409,-13.652376776068214
Southern Germany,-3.8692780221177254,-18.35890081575784
Southern Germany,-4.039411971183464,-16.723381491149087
Southern Germany,-5.368072942248142,-11.072498040296061
Southern Germany,-4.645511606714589,-13.52353687373006
Cities,-3.967593845369629,4.324510830495964
Cities,2.195732409079835,-1.0870823965664869
Southern Germany,-4.6565079251057355,-14.171021734326125
Southern Germany,-5.462056691983303,-13.210623927843336
Southern Germany,-4.154652136538921,-17.879221230689
Southern Germany,-3.32205678763714,-17.221445740011212
Southern Germany,-4.337164946008333,-17.02904643287202
Southern Germany,-5.114455746244014,-11.714673481737332
Cities,-6.579152410958454,-5.684209418151384
Southern Germany,-7.400638126412842,-16.978659192990943
Southern Germany,-5.5182653072073,-18.328020443817636
Southern Germany,-6.602289376044509,-17.212089811188275
Southern Germany,-9.060714679318274,-16.549625364145054
Southern Germany,-7.801796502679057,-17.454654085875845
Cities,-6.424700836988606,3.3375857743641015
Cities,-4.831117136505834,2.5351932156286945
Southern Germany,-8.269565453794574,-8.608770336676077
Cities,-8.498162926061612,-7.254479770070191
Southern Germany,-8.550532774443264,-8.155086699887839
Southern Germany,-6.601666790503475,-7.547097730208384
Southern Germany,-7.904996071631233,-7.882547948038111
Southern Germany,-8.442566997958691,-7.690352716992725
Southern Germany,-7.687540579059088,-7.732298868667398
Southern Germany,-5.893113944420529,-6.989000874128771
Southern Germany,-7.654593147695494,-10.207260243969813
Southern Germany,-6.607381394501007,-8.571990958232615
Southern Germany,-4.857136923812672,-13.32581943428043
Cities,-5.395564940530388,3.375611956382798
Southern Germany,-7.31868201084416,-8.752653338783485
Southern Germany,-7.362458962585132,-11.697245957962688
Cities,-5.166168529733119,2.2603317113674546
Cities,-0.7205694483028177,2.749098152605224
Southern Germany,-4.775475955006764,-16.218340198600053
Southern Germany,-6.254083263021755,-7.719033013116442
Southern Germany,-6.0107542000568674,-7.942855166199401
Southern Germany,-5.883425736495824,-6.7668958996059345
Southern Germany,-8.753291847656051,-13.230804534970716
Southern Germany,-5.38392656684109,4.616602386633954
Southern Germany,-6.2808584530688005,-10.16487066489408
Southern Germany,-6.514221440491092,-11.024374283512657
Southern Germany,-6.781199778525933,-11.314785918998917
Southern Germany,-8.336093900451095,-13.00164528447343
Southern Germany,-7.615756509831748,-12.239972691489529
Southern Germany,-8.74172597494378,-6.3022461727067025
Southern Germany,-6.944049740614317,-12.956024919662728
Southern Germany,-8.189108533180931,-9.626760896102567
Southern Germany,-6.963124437510997,2.3509206324793133
Southern Germany,-6.277006801822165,-12.12401367366418
Southern Germany,-8.989280426412673,-17.439815274219196
Southern Germany,-8.895087365221988,-10.987913028949196
Southern Germany,-8.921792067320915,-11.749121220795654
Southern Germany,-8.149325460889312,-13.245525446005363
Western Germany,4.784801148644371,3.3315246333281605
Western Germany,7.1286309457190145,-0.19435955659182835
Western Germany,7.298004931619583,-0.5806474143948986
Western Germany,6.9610989063688455,0.5794656583503057
